group,channel,tvg_id,etvhosts,backup,1,2,p
Tennis,Tennis Channel,Tennis.Channel.HD.us2,[43978;],[],[71954;316492;],[32128;],[841;]
Tennis,Sky Sports Tennis,Sky.Sports.Tennis.HD.ie,[59174;],[],[],[100382;100383;19049;19048;],[]
Tennis,TSN 1,TSN.1.ca2,[57428;44208;],[6521;],[],[],[]
Tennis,TSN 2,TSN.2.ca2,[57429;44209;],[6492;],[],[],[]
Tennis,TSN 3,TSN.3.ca2,[57430;44207;],[6522;],[],[],[]
Tennis,TSN 4,TSN.4.ca2,[57431;44206;],[6445;],[],[],[]
Tennis,TSN 5,TSN.5.ca2,[57432;44205;],[6517;],[],[],[]
Football,DAZN 1,DAZN.1.pt,[60023;60024;60025;60026;],[19158;],[],[30696;91783;34335;883273;1084884;],[]
Football,Sky Sports Main Event,Sky.Sports.Main.Event.ie,[16571;58925;16563;59265;],[9308;],[],[1256711;102170;34344;883272;1084883;],[]
Football,Sky Sports Premier League,Sky.Sports.Premier.League.ie,[16559;58924;],[9334;],[],[29016;],[]
Football,USA Network,USA.Network.HD.us2,[43964;19270;],[1101;31124;],[71345;71325;],[],[353;]
Football,beIN Sports 3,beIN.SPORTS.3.tr,[],[6821;],[39557;],[34270;],[]
Football,Arena Sport 1,Arena.Sport.1.HD.hr,[],[7263;7329;],[],[95449;949779;],[]
Football,Setanta Sports UA,Setanta.LT.lt,[],[272;15183;],[],[],[]
Football,V Sport Premium,[VIASPOH].V.Sport.Premium.HD.se,[],[12079;],[],[],[]
General,ESPN,ESPN.HD.us2,[60190;44044;],[19156;],[71936;1015944;],[],[]
General,ESPN 2,ESPN2.HD.us2,[60192;44043;],[19155;],[71935;],[],[]
General,Sky Sports Plus,Sky.Sports.Plus.ie,[58918;16566;],[],[],[743273;],[]
General,TNT Sports 1,TNT.Sports.1.HD.ie,[16552;43128;],[6566;6565;2505;],[],[1084873;29036;102181;],[]
General,TNT Sports 2,TNT.Sports.2.HD.ie,[16551;43126;],[2506;],[],[1084872;29038;102180;],[]
General,TNT Sports 3,TNT.Sports.3.HD.ie,[16550;43124;],[6564;],[],[1084871;29040;102179],[]
General,TNT Sports 4,TNT.Sports.4.HD.ie,[16549;57420;],[19054;],[],[1084870;2234;102178;],[]
ESPN,ESPN,,[],[19056;19060;],[325564;325567;],[1410766;],[280197;]
ESPN,ESPN 2,,[],[19061;],[325588;325563;],[1410765;],[280198;]
,,,,,,,
